generation_id,fitness,blocks_used,chromosome
2,257,16,"{6,6, 7,7, 2,2,16}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,1)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,0,3)([38]27,33,1)([39]0,0,1)([40]29,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
2,259,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,1)([14]6,1,3)([15]11,11,3)([16]7,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,0,3)([38]27,33,1)([39]0,0,1)([40]29,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]42,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
3,265,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]29,4,2)([41]5,32,3)([42]36,39,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,44,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
3,265,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,2,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]29,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
3,265,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,1,2)([22]13,11,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]29,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
3,267,16,"{6,6, 7,7, 2,2,16}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,2,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]27,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
3,257,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,5,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]29,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
3,265,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,1)([18]5,5,2)([19]6,6,2)([20]8,2,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]7,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]33,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]29,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
4,267,16,"{6,6, 7,7, 2,2,16}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,17,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]3,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]24,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]27,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
4,263,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,17,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]3,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]14,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]24,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]27,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,38,6,16,52)"
4,249,15,"{6,6, 7,7, 2,2,15}([6]2,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,17,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]3,3,0)([25]3,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]24,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]27,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
4,279,19,"{6,6, 7,7, 2,2,19}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]12,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,17,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]3,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]24,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]22,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
4,255,24,"{6,6, 7,7, 2,2,24}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,17,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]3,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,3)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]24,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]27,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,49,16,52)"
4,267,16,"{6,6, 7,7, 2,2,16}([6]3,2,1)([7]4,1,0)([8]0,3,3)([9]5,2,1)([10]5,5,0)([11]5,3,0)([12]0,0,1)([13]1,11,0)([14]6,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]5,5,2)([19]6,6,3)([20]8,17,3)([21]0,1,2)([22]13,1,3)([23]2,2,2)([24]3,3,0)([25]14,4,0)([26]2,7,0)([27]5,4,1)([28]21,20,3)([29]16,19,3)([30]3,19,1)([31]22,5,2)([32]24,25,3)([33]23,0,0)([34]20,33,3)([35]3,27,3)([36]24,30,2)([37]25,21,3)([38]27,33,1)([39]21,0,1)([40]27,4,2)([41]5,32,3)([42]36,0,1)([43]40,30,1)([44]32,36,0)([45]28,31,1)([46]27,2,1)([47]5,34,2)([48]37,46,1)([49]34,38,2)([50]35,46,2)([51]41,3,1)([52]4,46,1)([53]41,37,2)([54]2,1,2)(37,43,15,6,16,52)"
5,279,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]5,1,2)([8]0,3,3)([9]5,2,1)([10]5,4,0)([11]1,5,0)([12]0,3,1)([13]1,11,0)([14]12,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]3,5,2)([19]6,6,3)([20]8,17,2)([21]3,1,2)([22]19,1,0)([23]2,19,2)([24]3,3,0)([25]14,4,0)([26]4,11,0)([27]5,4,1)([28]21,20,2)([29]17,26,3)([30]3,19,1)([31]5,5,2)([32]2,25,3)([33]23,0,0)([34]20,33,3)([35]21,27,1)([36]24,30,2)([37]25,21,3)([38]27,33,2)([39]21,0,1)([40]25,4,2)([41]29,32,3)([42]36,3,1)([43]40,30,1)([44]28,36,0)([45]28,31,1)([46]27,2,1)([47]40,3,1)([48]39,46,2)([49]34,38,2)([50]3,42,2)([51]40,44,1)([52]4,46,1)([53]41,37,2)([54]39,47,1)(37,43,15,6,16,52)"
5,263,18,"{6,6, 7,7, 2,2,18}([6]3,2,1)([7]5,1,2)([8]0,3,3)([9]5,2,1)([10]5,4,0)([11]1,5,0)([12]0,3,1)([13]1,11,0)([14]12,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]7,5,2)([19]6,6,3)([20]8,17,2)([21]0,10,2)([22]19,1,0)([23]2,19,2)([24]3,3,0)([25]14,4,0)([26]4,11,0)([27]5,4,1)([28]21,20,2)([29]17,26,3)([30]3,19,1)([31]5,5,2)([32]2,25,3)([33]23,0,0)([34]20,33,3)([35]21,27,1)([36]24,30,2)([37]25,21,3)([38]27,33,2)([39]21,0,1)([40]25,4,2)([41]37,32,3)([42]36,3,1)([43]40,30,1)([44]28,36,0)([45]28,31,1)([46]27,2,1)([47]40,34,1)([48]39,46,2)([49]34,38,2)([50]3,42,2)([51]40,44,1)([52]4,46,1)([53]41,37,2)([54]39,47,1)(37,43,15,6,16,52)"
5,279,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]5,1,2)([8]0,3,3)([9]2,2,1)([10]5,4,0)([11]1,5,0)([12]0,3,1)([13]1,11,0)([14]12,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]3,5,2)([19]6,6,3)([20]8,17,2)([21]0,1,2)([22]19,1,0)([23]2,19,2)([24]3,3,0)([25]14,4,0)([26]4,11,0)([27]5,4,1)([28]21,20,2)([29]17,26,3)([30]3,19,1)([31]5,5,2)([32]2,25,3)([33]23,0,0)([34]20,33,3)([35]21,27,1)([36]24,30,2)([37]25,21,3)([38]27,33,2)([39]21,0,1)([40]25,4,2)([41]29,32,3)([42]36,3,1)([43]40,30,1)([44]28,36,0)([45]28,31,1)([46]27,2,1)([47]40,34,1)([48]39,46,2)([49]34,38,2)([50]3,42,2)([51]40,44,1)([52]4,46,1)([53]41,37,2)([54]39,47,1)(37,43,15,6,16,52)"
5,281,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]5,1,2)([8]0,3,3)([9]5,2,1)([10]5,4,0)([11]1,5,0)([12]0,3,1)([13]1,11,0)([14]12,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]3,5,2)([19]6,6,3)([20]8,17,2)([21]11,1,2)([22]19,1,0)([23]2,19,2)([24]3,3,0)([25]14,4,0)([26]4,11,0)([27]5,4,1)([28]21,20,2)([29]17,26,3)([30]3,19,1)([31]5,5,2)([32]2,25,3)([33]23,0,0)([34]20,33,3)([35]21,27,1)([36]24,30,2)([37]25,21,3)([38]27,33,2)([39]21,0,1)([40]25,4,2)([41]29,32,3)([42]36,3,1)([43]40,30,1)([44]28,36,0)([45]28,31,1)([46]27,2,1)([47]40,34,1)([48]39,46,2)([49]34,38,2)([50]3,42,2)([51]40,5,1)([52]4,46,1)([53]41,37,2)([54]4,47,1)(37,43,15,6,16,52)"
5,279,17,"{6,6, 7,7, 2,2,17}([6]3,2,1)([7]5,1,2)([8]2,3,3)([9]5,2,1)([10]5,4,0)([11]1,5,0)([12]0,3,1)([13]1,11,0)([14]12,1,3)([15]11,11,3)([16]6,9,3)([17]6,0,2)([18]3,5,2)([19]6,6,3)([20]8,17,2)([21]0,1,2)([22]19,1,0)([23]2,19,2)([24]3,3,0)([25]14,4,0)([26]4,11,0)([27]5,4,1)([28]21,20,2)([29]17,26,3)([30]3,19,1)([31]5,5,2)([32]2,25,3)([33]23,0,0)([34]20,33,3)([35]21,27,1)([36]24,30,2)([37]25,21,3)([38]27,3,2)([39]21,0,1)([40]25,4,2)([41]29,32,3)([42]36,3,1)([43]40,30,1)([44]28,36,0)([45]28,31,1)([46]27,2,1)([47]40,34,1)([48]39,46,2)([49]34,38,2)([50]3,42,2)([51]40,44,1)([52]4,46,1)([53]41,37,2)([54]39,47,1)(37,43,15,6,16,52)"
